block;kind;term;level;section_scope;is_regex;normalization_type;normalization_target
GLOBAL;;AI;;;0;abbreviation;artificial intelligence
GLOBAL;;ML;;;0;abbreviation;machine learning
GLOBAL;;DL;;;0;abbreviation;deep learning
GLOBAL;;ANN;;;0;abbreviation;neural network
GLOBAL;;CNN;;;0;abbreviation;neural network
GLOBAL;;NLP;;;0;abbreviation;natural language processing
GLOBAL;;CV;;;0;abbreviation;computer vision
GLOBAL;;DT;;;0;abbreviation;digital twin
GLOBAL;;OTD;;;0;abbreviation;on-time delivery
GLOBAL;;OTIF;;;0;abbreviation;on-time delivery
GLOBAL;;supply-chain;;;0;compound_variant;supply chain
GLOBAL;;decision-making;;;0;compound_variant;decision making
GLOBAL;;on time delivery;;;0;compound_variant;on-time delivery
GLOBAL;;leadtime;;;0;compound_variant;lead time
GLOBAL;;e-procurement;;;0;compound_variant;procurement
GLOBAL;;lead-time;;;0;compound_variant;lead time
GLOBAL;;well-bore;;;0;compound_variant;wellbore
GLOBAL;;–;;;0;symbol_replacement;-
GLOBAL;;—;;;0;symbol_replacement;-
GLOBAL;;’;;;0;symbol_replacement;'
GLOBAL;;“;;;0;symbol_replacement;""""
GLOBAL;;”;;;0;symbol_replacement;""""
GLOBAL;;ﬁ;;;0;symbol_replacement;fi
GLOBAL;;ﬂ;;;0;symbol_replacement;fl
GLOBAL;;×;;;0;symbol_replacement;x
GLOBAL;;&;;;0;symbol_replacement;and
GLOBAL;;/;;;0;symbol_replacement;or
GLOBAL;;+;;;0;symbol_replacement;and
GLOBAL;;w/;;;0;symbol_replacement;with
GLOBAL;;w/o;;;0;symbol_replacement;without
GLOBAL;;vs;;;0;symbol_replacement;versus
GLOBAL;;vs.;;;0;symbol_replacement;versus
GLOBAL;;@;;;0;symbol_replacement;at
GLOBAL;;%2F;;;0;symbol_replacement;or
GLOBAL;anti;review article;;title;0;;
GLOBAL;anti;systematic review;;title;0;;
GLOBAL;anti;literature review;;title;0;;
GLOBAL;anti;meta-analysis;;title;0;;
GLOBAL;anti;survey paper;;title;0;;
GLOBAL;anti;tutorial;;title;0;;
GLOBAL;anti;book chapter;;any;0;;
GLOBAL;anti;conference abstract;;any;0;;
GLOBAL;anti;poster;;any;0;;
GLOBAL;anti;editorial;;any;0;;
GLOBAL;anti;commentary;;any;0;;
GLOBAL;flag;case study;;any;0;;
GLOBAL;flag;case studies;;any;0;;
GLOBAL;flag;pilot study;;any;0;;
GLOBAL;flag;preliminary study;;any;0;;
GLOBAL;flag;conceptual;;any;0;;
GLOBAL;flag;theoretical;;any;0;;
T1A;pos;oil and gas;1;any;0;;
T1A;pos;petroleum industr*;1;any;0;;
T1A;pos;petroleum sector;1;any;0;;
T1A;pos;petroleum refiner*;1;any;0;;
T1A;pos;petroleum produc*;1;any;0;;
T1A;pos;petroleum supply chain;1;any;0;;
T1A;pos;O&G;1;any;0;;
T1A;pos;petrochemical industr*;2;any;0;;
T1A;pos;E&P;2;any;0;;
T1A;pos;hydrocarbon industr*;2;any;0;;
T1A;pos;petroleum upstream;2;any;0;;
T1A;pos;oil upstream;2;any;0;;
T1A;pos;petroleum downstream;2;any;0;;
T1A;pos;oil field*;2;any;0;;
T1A;pos;oilfield*;2;any;0;;
T1A;pos;oil exploration;2;any;0;;
T1A;pos;oil logistics;2;any;0;;
T1A;pos;exploration and production;3;any;0;;
T1A;pos;upstream operation*;3;any;0;;
T1A;pos;offshore operation*;3;any;0;;
T1A;pos;offshore project*;3;any;0;;
T1A;pos;subsea operation*;3;any;0;;
T1A;pos;subsea facilit*;3;any;0;;
T1A;pos;drilling operation*;3;any;0;;
T1A;pos;rig operation*;3;any;0;;
T1A;pos;midstream operation*;3;any;0;;
T1A;pos;FPSO;3;any;0;;
T1A;pos;offshore platform*;3;any;0;;
T1A;pos;wellbore*;4;any;0;;
T1A;pos;reservoir management;4;any;0;;
T1A;pos;downstream operation*;4;any;0;;
T1A;pos;oil field service*;4;any;0;;
T1A;pos;gas processing;4;any;0;;
T1A;pos;LNG plant*;4;any;0;;
T1A;pos;pipeline integrity;4;any;0;;
T1A;pos;flow assurance;5;any;0;;
T1A;pos;refining process*;5;any;0;;
T1A;pos;fossil fuel industr*;5;any;0;;
T1A;pos;extractive industr*;5;any;0;;
T1A;pos;energy transition oil;5;any;0;;
T1A;anti;vegetable oil;;any;0;;
T1A;anti;edible oil;;any;0;;
T1A;anti;cooking oil;;any;0;;
T1A;anti;olive oil;;any;0;;
T1A;anti;palm oil;;any;0;;
T1A;anti;soybean oil;;any;0;;
T1A;anti;fish oil;;any;0;;
T1A;anti;essential oil*;;any;0;;
T1A;anti;blood gas;;any;0;;
T1A;anti;gastric;;any;0;;
T1A;anti;gas exchange;;any;0;;
T1A;anti;gas sensor (medical);;any;0;;
T1A;flag;gas chromatography;;any;0;;
T1A;flag;lubricant*;;any;0;;
T1A;flag;mineral oil;;any;0;;
T1B;pos;artificial intelligence;1;any;0;;
T1B;pos;machine learning;1;any;0;;
T1B;pos;deep learning;1;any;0;;
T1B;pos;neural network*;1;any;0;;
T1B;pos;decision support system*;1;any;0;;
T1B;pos;predictive analytic*;2;any;0;;
T1B;pos;prescriptive analytic*;2;any;0;;
T1B;pos;optimization algorithm*;2;any;0;;
T1B;pos;data mining;2;any;0;;
T1B;pos;automated decision making;3;any;0;;
T1B;pos;digital twin*;3;any;0;;
T1B;pos;expert system*;3;any;0;;
T1B;pos;computer vision;3;any;0;;
T1B;pos;natural language processing;3;any;0;;
T1B;pos;pattern recognition;3;any;0;;
T1B;pos;data analytic*;3;any;0;;
T1B;pos;computational intelligence;3;any;0;;
T1B;pos;cognitive computing;4;any;0;;
T1B;pos;algorithmic decision making;4;any;0;;
T1B;pos;advanced analytic*;4;any;0;;
T1B;pos;intelligent automation;5;any;0;;
T1B;pos;industry 4.0;5;any;0;;
T1B;anti;artificial insemination;;any;0;;
T1B;anti;adobe illustrator;;any;0;;
T1B;anti;appreciative inquiry;;any;0;;
T1B;anti;aortic insufficiency;;any;0;;
T1B;anti;avian influenza;;any;0;;
T1B;anti;Air India;;any;0;;
T1B;flag;operations research;;any;0;;
T1B;flag;mathematical programming;;any;0;;
T1B;flag;linear regression;;any;0;;
T1B;flag;ARIMA;;any;0;;
T1B;flag;time series forecasting;;any;0;;
T1C;pos;supply chain management;1;any;0;;
T1C;pos;SCM;1;any;0;;
T1C;pos;supply chain*;1;any;0;;
T1C;pos;procurement;1;any;0;;
T1C;pos;supply chain risk management;1;any;0;;
T1C;pos;SCRM;1;any;0;;
T1C;pos;supplier management;2;any;0;;
T1C;pos;vendor management;2;any;0;;
